name,market_value_eur,contract_until,tm_photo_url,tm_id,age,foot,height,position,dob
J. Garner,45000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/505219-1662067244.jpg,505219.0,,,,,
I. Gueye,8000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1178488-1741265032.jpg,1178488.0,,,,,
K. Dewsbury-Hall,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/475188-1774470020.jpg,475188.0,,,,,
T. Iroegbunam,18000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/696589-1650877564.jpg,696589.0,,,,,
C. Alcaraz,15000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/748319-1694617058.jpg,748319.0,,,,,
H. Armstrong,12000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1107733-1736161319.jpg,1107733.0,,,,,
T. Onyango,350000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/663225-1728895408.jpg,663225.0,,,,,
M. Röhl,16000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/608832-1726649794.jpg,608832.0,,,,,
J. Grealish,20000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/203460-1676499047.jpg,203460.0,,,,,
T. George,20000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/936874-1731016609.jpg,936874.0,,,,,
D. McNeil,18000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/584769-1700651579.jpg,584769.0,,,,,
I. Ndiaye,55000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/623570-1765811829.jpg,623570.0,,,,,
T. Dibling,17000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/866655-1724485194.jpg,866655.0,,,,,
T. Barry,30000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/937941-1743672693.jpg,937941.0,,,,,
Beto,18000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/595809-1711746870.jpg,595809.0,,,,,
B. Leno,6000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/72476-1774470314.jpg,72476.0,,,,,
B. Lecomte,800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/127181-1779952065.jpg,127181.0,,,,,
C. Bassey,28000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/461883-1662989506.jpg,461883.0,,,,,
Jorge Cuenca,8000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/494880-1737920132.jpg,494880.0,,,,,
I. Diop,8000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/272622-1780316727.jpg,272622.0,,,,,
R. Sessegnon,22000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/392775-1722077271.jpg,392775.0,,,,,
A. Robinson,22000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/349701-1703926612.jpg,349701.0,,,,,
K. Tete,8000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/206746-1746645948.jpg,206746.0,,,,,
T. Castagne,8000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/262226-1762354618.jpg,262226.0,,,,,
S. Berge,25000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/333014-1780049344.jpg,333014.0,,,,,
S. Lukić,10000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/245056-1746645290.jpg,245056.0,,,,,
H. Reed,2000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/226973-1762354305.jpg,226973.0,,,,,
T. Cairney,500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/123275-1651652849.jpg,123275.0,,,,,
J. King,25000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1011131-1752773470.jpg,1011131.0,,,,,
E. Smith Rowe,20000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/392765-1684164628.jpg,392765.0,,,,,
Luke Harris,900000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/817612-1657802332.jpg,817612.0,,,,,
Kevin,25000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/900195-1762354062.jpg,900195.0,,,,,
A. Iwobi,20000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/242631-1679652866.jpg,242631.0,,,,,
O. Bobb,28000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/661207-1770716679.png,661207.0,,,,,
H. Wilson,25000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/279455-1668070758.jpg,279455.0,,,,,
S. Chukwueze,18000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/401922-1767008430.jpg,401922.0,,,,,
Rodrigo Muniz,20000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/735571-1657802369.jpg,735571.0,,,,,
R. Jiménez,3000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/206040-1742820547.jpg,206040.0,,,,,
J. Kusi-Asare,3000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1069512-1739808814.jpg,1069512.0,,,,,
G. Mamardashvili,28000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/502676-1716542116.jpg,502676.0,,,,,
Alisson,15000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/105470-1780389358.jpg,105470.0,,,,,
F. Woodman,3000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/226049-1737883837.jpg,226049.0,,,,,
H. Davies,,,https://img.a.transfermarkt.technology/portrait/big/706815-1755504936.jpg,706815.0,,,,,
I. Konaté,45000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/357119-1669190550.jpg,357119.0,,,,,
G. Leoni,25000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/1086619-1751532399.jpg,1086619.0,,,,,
V. van Dijk,15000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/139208-1702049837.jpg,139208.0,,,,,
Rhys Williams,,,https://img.a.transfermarkt.technology/portrait/big/503679-1674491393.jpg,503679.0,,,,,
M. Kerkez,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/730861-1773172293.jpg,730861.0,,,,,
A. Robertson,7000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/234803-1709147379.jpg,234803.0,,,,,
J. Frimpong,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/484547-1689710682.jpg,484547.0,,,,,
C. Bradley,25000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/624258-1762340233.jpg,624258.0,,,,,
C. Ramsay,1500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/633652-1774469298.jpg,633652.0,,,,,
R. Gravenberch,80000000.0,2032-06-30,https://img.a.transfermarkt.technology/portrait/big/478573-1718097194.jpg,478573.0,,,,,
W. Endo,4000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/146310-1657181542.jpg,146310.0,,,,,
Stefan Bajcetic,,,https://img.a.transfermarkt.technology/portrait/big/864799-1661441233.jpg,864799.0,,,,,
A. Mac Allister,70000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/534033-1669835342.jpg,534033.0,,,,,
C. Jones,35000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/433188-1701681163.jpg,433188.0,,,,,
T. Nyoni,8000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1045123-1708933240.jpg,1045123.0,,,,,
F. Wirtz,100000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/598577-1689710503.jpg,598577.0,,,,,
D. Szoboszlai,100000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/451276-1758715234.jpg,451276.0,,,,,
C. Gakpo,60000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/434675-1682690965.jpg,434675.0,,,,,
R. Ngumoha,30000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1108466-1730834754.jpg,1108466.0,,,,,
Mohamed Salah,22000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/148455-1727337594.jpg,148455.0,,,,,
F. Chiesa,13000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/341092-1663576975.jpg,341092.0,,,,,
A. Isak,85000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/349066-1680791339.jpg,349066.0,,,,,
H. Ekitiké,80000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/709726-1758714741.jpg,709726.0,,,,,
G. Donnarumma,45000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/315858-1761076746.jpg,315858.0,,,,,
J. Trafford,25000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/566799-1689876147.jpg,566799.0,,,,,
M. Bettinelli,300000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/116648-1700671752.jpg,116648.0,,,,,
M. Guéhi,70000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/392757-1683030598.jpg,392757.0,,,,,
J. Gvardiol,70000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/475959-1713391602.jpg,475959.0,,,,,
Rúben Dias,55000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/258004-1684921271.jpg,258004.0,,,,,
A. Khusanov,50000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/763079-1740493347.jpg,763079.0,,,,,
J. Stones,12000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/186590-1684764261.jpg,186590.0,,,,,
N. Aké,12000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/177476-1666733797.jpg,177476.0,,,,,
M. Alleyne,8000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/843595-1773301916.jpg,843595.0,,,,,
N. O'Reilly,70000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/743413-1751367149.jpg,743413.0,,,,,
R. Aït-Nouri,40000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/578391-1761076429.jpg,578391.0,,,,,
Matheus Nunes,50000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/601883-1761076097.jpg,601883.0,,,,,
R. Lewis,28000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/701057-1684856684.jpg,701057.0,,,,,
Rodri,50000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/357565-1682587890.jpg,357565.0,,,,,
Nico González,40000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/466805-1743669968.jpg,466805.0,,,,,
Kalvin Phillips,2500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/351749-1661978510.jpg,351749.0,,,,,
T. Reijnders,50000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/460939-1773302677.jpg,460939.0,,,,,
Sverre Nypan,13000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/911736-1743175613.jpg,911736.0,,,,,
M. Kovačić,10000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/51471-1682668192.jpg,51471.0,,,,,
R. Cherki,90000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/607223-1773302431.jpg,607223.0,,,,,
P. Foden,70000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/406635-1668524492.jpg,406635.0,,,,,
Bernardo Silva,22000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/241641-1684311533.jpg,241641.0,,,,,
J. Doku,75000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/486049-1743670159.jpg,486049.0,,,,,
Savinho,35000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/743591-1751367497.jpg,743591.0,,,,,
A. Semenyo,80000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/583255-1737452028.jpg,583255.0,,,,,
E. Haaland,200000000.0,2034-06-30,https://img.a.transfermarkt.technology/portrait/big/418560-1709108116.png,418560.0,,,,,
Omar Marmoush,50000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/445939-1747656490.jpg,445939.0,,,,,
S. Lammens,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/503883-1755675220.jpg,503883.0,,,,,
A. Bayındır,5000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/336077-1699471821.jpg,336077.0,,,,,
T. Heaton,100000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/34130-1688121718.jpg,34130.0,,,,,
L. Yoro,50000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/923831-1747857948.jpg,923831.0,,,,,
L. Martínez,40000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/480762-1680681507.jpg,480762.0,,,,,
M. de Ligt,75000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/804775-1755698125.jpg,804775.0,,,,,
A. Heaven,30000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1078163-1727382016.jpg,1078163.0,,,,,
H. Maguire,8000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/177907-1663841733.jpg,177907.0,,,,,
L. Shaw,8000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/183288-1668500175.jpg,183288.0,,,,,
T. Malacia,4000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/339340-1657096025.jpg,339340.0,,,,,
Diogo Dalot,30000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/357147-1727785546.jpg,357147.0,,,,,
N. Mazraoui,18000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/340456-1700207898.jpg,340456.0,,,,,
M. Ugarte,25000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/476701-1715107512.jpg,476701.0,,,,,
Casemiro,6000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/16306-1699018876.jpg,16306.0,,,,,
K. Mainoo,70000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/820374-1719349758.jpg,820374.0,,,,,
J. Fletcher,1500000.0,,https://img.a.transfermarkt.technology/portrait/big/1011140-1739789239.jpg,1011140.0,,,,,
Bruno Fernandes,35000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/240306-1683882766.jpg,240306.0,,,,,
M. Mount,25000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/346483-1683291495.jpg,346483.0,,,,,
Matheus Cunha,75000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/517894-1780390711.jpg,517894.0,,,,,
P. Dorgu,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/926952-1747857569.jpg,926952.0,,,,,
B. Mbeumo,75000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/413039-1769532496.jpg,413039.0,,,,,
A. Diallo,45000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/536835-1747857754.jpg,536835.0,,,,,
B. Šeško,75000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/627442-1779803478.jpg,627442.0,,,,,
J. Zirkzee,20000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/435648-1775738266.jpg,435648.0,,,,,
C. Obi,5000000.0,,https://img.a.transfermarkt.technology/portrait/big/1042886-1739789319.jpg,1042886.0,,,,,
G. Larsonneur,,,https://img.a.transfermarkt.technology/portrait/big/357047-1727720726.jpg,357047.0,,,,,
B. Maubleu,,,https://img.a.transfermarkt.technology/portrait/big/78047-1727720955.jpg,78047.0,,,,,
Chico Lamba,,,https://img.a.transfermarkt.technology/portrait/big/744186-1706081634.jpg,744186.0,,,,,
M. Nadé,,,https://img.a.transfermarkt.technology/portrait/big/494586-1727722979.jpg,494586.0,,,,,
J. Le Cardinal,1800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/794349-1727808054.jpg,794349.0,,,,,
M. Bernauer,,,https://img.a.transfermarkt.technology/portrait/big/324819-1595959090.jpg,324819.0,,,,,
A. Soumahoro,1200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1052420-1758188513.jpg,1052420.0,,,,,
B. Old,,,https://img.a.transfermarkt.technology/portrait/big/617021-1727721943.jpg,617021.0,,,,,
E. Annan,,,https://img.a.transfermarkt.technology/portrait/big/861221-1754563095.jpg,861221.0,,,,,
L. Traoré,,,https://img.a.transfermarkt.technology/portrait/big/1133751-1740389251.jpg,1133751.0,,,,,
K. Pedro,,,https://img.a.transfermarkt.technology/portrait/big/955263-1771429718.png,955263.0,,,,,
João Ferreira,2000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/481623-1690898542.jpg,481623.0,,,,,
S. Stojković,,,https://img.a.transfermarkt.technology/portrait/big/952770-1708516342.jpg,952770.0,,,,,
D. Appiah,,,https://img.a.transfermarkt.technology/portrait/big/111038-1727723257.jpg,111038.0,,,,,
A. Kanté,5000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1091219-1733314807.jpg,1091219.0,,,,,
M. Jaber,,,https://img.a.transfermarkt.technology/portrait/big/467151-1695404925.jpg,467151.0,,,,,
A. Moueffek,,,https://img.a.transfermarkt.technology/portrait/big/484992-1727722286.jpg,484992.0,,,,,
L. Gadegbeku,,,https://img.a.transfermarkt.technology/portrait/big/1075584.jpg,1075584.0,,,,,
P. Eymard,,,https://img.a.transfermarkt.technology/portrait/big/1227102-1771420637.png,1227102.0,,,,,
F. Tardieu,,,https://img.a.transfermarkt.technology/portrait/big/212804-1727722208.jpg,212804.0,,,,,
A. Boakye,,,https://img.a.transfermarkt.technology/portrait/big/579263-1727722384.jpg,579263.0,,,,,
I. Miladinović,,,https://img.a.transfermarkt.technology/portrait/big/729872-1727721630.jpg,729872.0,,,,,
N. El Jamali,,,https://img.a.transfermarkt.technology/portrait/big/1202299.jpg,1202299.0,,,,,
Z. Davitashvili,,,https://img.a.transfermarkt.technology/portrait/big/427572-1727721934.jpg,427572.0,,,,,
I. Cardona,,,https://img.a.transfermarkt.technology/portrait/big/342226-1723534120.jpg,342226.0,,,,,
L. Stassin,15000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/655012-1727721924.jpg,655012.0,,,,,
D. N'Guessan,,,https://img.a.transfermarkt.technology/portrait/big/1200419-1736786320.jpg,1200419.0,,,,,
J. Duffus,,,https://img.a.transfermarkt.technology/portrait/big/867700-1752755797.jpg,867700.0,,,,,
M. Paalberg,,,https://img.a.transfermarkt.technology/portrait/big/1044395-1709905862.jpg,1044395.0,,,,,
H. Koffi,6000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/415383-1672499883.jpg,415383.0,,,,,
M. Zinga,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/548347-1750955335.png,548347.0,,,,,
O. Pona,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1073176-1750955375.png,1073176.0,,,,,
E. Biumla,2500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1071956-1750955479.png,1071956.0,,,,,
J. Lefort,1000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/192492-1750956054.png,192492.0,,,,,
A. Bamba,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/62351-1750955806.png,62351.0,,,,,
J. Ekomié,9000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/970279-1750955900.png,970279.0,,,,,
F. Hanin,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/111811-1750955915.png,111811.0,,,,,
D. Sinaté,150000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/955354-1758708129.png,955354.0,,,,,
L. Raolisoa,4000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/829874-1750955865.png,829874.0,,,,,
M. Louër,2000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1103652-1779447824.jpg,1103652.0,,,,,
C. Arcus,1800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/371686-1750955924.png,371686.0,,,,,
M. Courcoul,2500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1075575-1750956409.png,1075575.0,,,,,
Y. Belkhdim,7000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/807688-1750956388.png,807688.0,,,,,
B. van den Boomen,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/203938-1682946572.jpg,203938.0,,,,,
H. Belkebla,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/138055-1750956421.png,138055.0,,,,,
P. Capelle,150000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/214532-1750956399.png,214532.0,,,,,
L. Mouton,4000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/904662-1727722197.jpg,904662.0,,,,,
A. Sbaï,4000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/851220-1759940291.jpg,851220.0,,,,,
H. Djibirin,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1133929-1770737612.jpg,1133929.0,,,,,
P. Peter,15000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1103958-1758210995.jpg,1103958.0,,,,,
G. Koyalipou,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/525140-1714738152.png,525140.0,,,,,
L. Machine,1500000.0,,https://img.a.transfermarkt.technology/portrait/big/1096744-1762884735.jpg,1096744.0,,,,,
Anthony Lopes,900000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/60561-1640775949.jpg,60561.0,,,,,
P. Carlgren,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/190280-1726237403.jpg,190280.0,,,,,
A. Mirbach,50000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/928873-1725962656.jpg,928873.0,,,,,
T. Tati,25000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1241207-1764146203.jpg,1241207.0,,,,,
Ali Youssif,2500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/944724-1757486115.png,944724.0,,,,,
N. Cozza,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/485965-1689865641.jpg,485965.0,,,,,
A. Sylla,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/962555-1732575720.png,962555.0,,,,,
C. Awaziem,,,https://img.a.transfermarkt.technology/portrait/big/358143-1740820125.jpg,358143.0,,,,,
U. Radaković,400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/169511-1724074837.png,169511.0,,,,,
S. Doucouré,150000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/825438-1753112262.jpg,825438.0,,,,,
D. Machado,1800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/332560-1704797088.jpg,332560.0,,,,,
K. Amian,2000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/344072-1638174640.jpg,344072.0,,,,,
F. Centonze,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/384859-1703065658.jpg,384859.0,,,,,
F. Guilbert,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/354352-1753434772.jpg,354352.0,,,,,
M. Acapandié,700000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/944355-1713535329.jpg,944355.0,,,,,
J. Lepenant,7000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/585973-1672830993.jpg,585973.0,,,,,
I. Sissoko,2000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/372712-1721851302.jpg,372712.0,,,,,
B. Deuff,1200000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1176215-1762884807.jpg,1176215.0,,,,,
F. Coquelin,700000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/74869-1515684724.jpg,74869.0,,,,,
D. Tabibou,5000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1004619-1762884883.jpg,1004619.0,,,,,
M. Kaba,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/911328-1695033138.jpg,911328.0,,,,,
L. Leroux,10000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1119456-1740392399.jpg,1119456.0,,,,,
R. Cabella,1200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/113707-1757716597.png,113707.0,,,,,
H. Guirassy,7000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1119453-1726236547.jpg,1119453.0,,,,,
M. Abline,20000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/659543-1704213657.jpg,659543.0,,,,,
Mostafa Mohamed,3500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/462348-1703065403.jpg,462348.0,,,,,
I. Ganago,,,https://img.a.transfermarkt.technology/portrait/big/531949-1740678544.jpg,531949.0,,,,,
Youssef El Arabi,,,https://img.a.transfermarkt.technology/portrait/big/96533-1447230875.jpg,96533.0,,,,,
M. Diaw,900000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/164904-1679507026.jpg,164904.0,,,,,
Lionel Mpasi-Nzau,,,https://img.a.transfermarkt.technology/portrait/big/164915-1666190720.JPG,164915.0,,,,,
P. Argney,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/988275-1701165489.jpg,988275.0,,,,,
A. Sangante,8000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/768380-1738244271.jpg,768380.0,,,,,
A. Seko,5000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/405389-1558683017.png,405389.0,,,,,
S. Zagadou,4000000.0,,https://img.a.transfermarkt.technology/portrait/big/1228317-1770734950.jpg,1228317.0,,,,,
G. Lloris,3000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/249636-1704795536.jpg,249636.0,,,,,
Étienne Youté Kinkoué,,,https://img.a.transfermarkt.technology/portrait/big/639712-1732894435.jpg,639712.0,,,,,
Y. Zouaoui,2500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/691841-1741881750.jpg,691841.0,,,,,
Enzo Koffi,,,https://img.a.transfermarkt.technology/portrait/big/1119881-1777328098.jpg,1119881.0,,,,,
F. Doucouré,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/465296-1656332755.png,465296.0,,,,,
T. Pembélé,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/538998-1754900983.jpg,538998.0,,,,,
L. Nego,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/122840-1700236720.jpg,122840.0,,,,,
L. Gourna-Douath,6000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/620313-1758627856.png,620313.0,,,,,
A. Touré,0.0,,https://img.a.transfermarkt.technology/portrait/big/1064242.jpg,1064242.0,,,,,
D. Mosengo,300000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1119880-1758624811.jpg,1119880.0,,,,,
R. Ndiaye,8000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/662242-1654095080.jpg,662242.0,,,,,
S. Ebonog,4500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/770436-1758624584.jpg,770436.0,,,,,
Y. Kechta,4000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/667967-1675949617.jpg,667967.0,,,,,
G. Zohouri,,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1119877.jpg,1119877.0,,,,,
S. Boufal,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/232271-1668757196.jpg,232271.0,,,,,
R. Khadra,1200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/405686-1723836051.png,405686.0,,,,,
I. Soumaré,8000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/568698-1669738231.jpg,568698.0,,,,,
